日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2016-09-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,3009500,0.85%,1173000,63.87%,900916
2016-09-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,1841534,0.52%,不变,--,900916
2016-09-30,NORGES BANK,QFII,B股,1385039,0.39%,不变,--,900916
2016-09-30,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,1353098,0.38%,-136800,-9.18%,900916
2016-09-30,Bank of Singapore Limited,金融,B股,1000000,0.28%,新进,--,900916
2017-06-30,GUOTAI JUNAN SECURITIE(HONGKONG)LIMITED,证券公司,B股,17999593,1.49%,-213100,-1.17%,900917
2017-03-31,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,18212693,1.51%,5081329,38.70%,900917
2016-12-31,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,13131364,1.09%,1192437,9.99%,900917
2016-09-30,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,11938927,0.99%,新进,--,900917
2017-09-30,TOYO SECURITIES ASIA LTD.A/C CLIENT,证券公司,B股,2444837,0.26%,-140975,-5.45%,900918
2017-09-30,WANG SHANG KEE &/OR CHIN WAN LAN,其它,B股,2171320,0.23%,不变,--,900918
2017-06-30,TOYO SECURITIES ASIA LTD. A/C CLIENT,证券公司,B股,2585812,0.28%,-19500,-0.75%,900918
2017-06-30,WANG SHANG KEE &/OR CHIN WAN LAN,其它,B股,2171320,0.23%,不变,--,900918
2017-03-31,TOYO SECURITIES ASIA LTD. A/C CLIENT,证券公司,B股,2605312,0.28%,2000,0.08%,900918
2017-03-31,WANG SHANG KEE &/OR CHIN WAN LAN,其它,B股,2171320,0.23%,不变,--,900918
2016-12-31,TOYO SECURITIES ASIA LTD.A/C CLIENT,证券公司,B股,2603312,0.30%,-41400,-1.57%,900918
2016-12-31,WANG SHANGKEE&/OR CHIN WANLAN,其它,B股,2171320,0.25%,不变,--,900918
2016-09-30,TOYO SECURITIES ASIA LTD. A/C CLIENT,证券公司,B股,2644712,0.31%,-26500,-0.99%,900918
2016-09-30,WANG SHANG KEE &/OR CHIN WAN LAN,其它,B股,2171320,0.25%,不变,--,900918
2017-09-30,HAITONG INTERNATIONAL SECURITIES COMPANY LIMITED-ACCOUNT CLIENT,证券公司,B股,6798244,0.96%,-88100,-1.28%,900919
2017-09-30,NOMURA SINGAPORE LIMITED,其它,B股,5320088,0.75%,-630000,-10.59%,900919
2017-06-30,HAITONG INTERNATIONAL SECURITIES COMPANY LIMITED-ACCOUNT CLIENT,证券公司,B股,6886344,0.97%,不变,--,900919
2017-06-30,NOMURA SINGAPORE LIMITED,其它,B股,5950088,0.84%,不变,--,900919
2017-06-30,SHENWAN HONGYUAN NOMINEES(H.K.) LIMITED,其它,B股,4852600,0.68%,新进,--,900919
2017-03-31,HAITONG INTERNATIONAL SECURITIES COMPANY LIMITED-ACCOUNT CLIENT,证券公司,B股,6886344,0.97%,-1690100,-19.71%,900919
2017-03-31,NOMURA SINGAPORE LIMITED,其它,B股,5950088,0.84%,新进,--,900919
2017-03-31,SHENYIN WANGUO NOMINEES(H.K.) LTD.,其它,B股,4865600,0.68%,新进,--,900919
2016-12-31,HAITONG INTERNATIONAL SECURITIES COMPANY LIMITED-ACCOUNT CLIENT,证券公司,B股,8576444,1.21%,5845908,214.09%,900919
2016-12-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4733900,0.67%,不变,--,900919
2016-12-31,SHENWAN HONGYUAN NOMINEES (H.K.) LIMITED,其它,B股,4101100,0.58%,新进,--,900919
2016-09-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4733900,0.67%,1770300,59.73%,900919
2016-09-30,HAITONG INTERNATIONAL SECURITIES COMPANY LIMITED-ACCOUNT CLIENT,证券公司,B股,2730536,0.38%,-350700,-11.38%,900919
2017-09-30,BOCHK INVESTMENT FUNDS-BOCHK CHINA GOLDEND RAGON FUND,基金管理公司,B股,5683736,0.66%,不变,--,900920
