shareholder,value,percent,share_type,share_code
中国证券金融股份有限公司,5109600,0.419,流通A股,000301
中国服装集团公司,3724120,0.306,流通A股,000301
美的控股有限公司,2212046613,33.929,流通A股,000333
香港中央结算有限公司,577323779,8.855,流通A股,000333
中国证券金融股份有限公司,199439709,3.059,流通A股,000333
中央汇金资产管理有限责任公司,78474900,1.204,流通A股,000333
UBSAG(瑞银集团),72468364,1.112,流通A股,000333
香港中央结算代理人有限公司,1937253816,24.224,境外可流通股,000338
中国证券金融股份有限公司,170419528,2.131,流通A股,000338
奥地利IVM技术咨询维也纳有限公司,147250000,1.841,流通A股,000338
中央汇金资产管理有限责任公司,108492800,1.357,流通A股,000338
香港中央结算有限公司,95551525,1.195,流通A股,000338
山东省企业托管经营股份有限公司,61049960,0.763,流通A股,000338
株洲市国有资产投资控股集团有限公司,41775264,0.522,流通A股,000338
许继集团有限公司,416197653,41.276,流通A股,000400
中国证券金融股份有限公司,27186629,2.696,流通A股,000400
中央汇金资产管理有限责任公司,21613300,2.143,流通A股,000400
深圳市前海益华投资有限公司,9471016,0.939,流通A股,000400
冀东发展集团有限责任公司,404256874,30.000,流通A股,000401
唐山国有资本运营有限公司,71241112,5.287,流通A股,000401
菱石投资有限公司,39476464,2.930,流通A股,000401
中央汇金资产管理有限责任公司,21898000,1.625,流通A股,000401
国信证券股份有限公司,8235200,0.611,流通A股,000401
北京金融街投资(集团)有限公司,896302093,29.987,流通A股,000402
北京金融街资本运营中心,68417008,2.289,流通A股,000402
中国证券金融股份有限公司,67795232,2.268,流通A股,000402
中央汇金资产管理有限责任公司,52910000,1.770,流通A股,000402
招商证券股份有限公司,22072565,0.738,流通A股,000402
浙江民营企业联合投资股份有限公司,6529358,2.395,流通A股,000403
四川长虹电器股份有限公司,201503205,28.952,流通A股,000404
绵阳科技城发展投资(集团)有限公司,28750000,4.131,流通A股,000404
景德镇市国资运营投资控股集团有限责任公司,8435570,1.212,流通A股,000404
华融证券股份有限公司,6995339,1.005,流通A股,000404
广州润铠胜投资有限责任公司,82075945,9.326,流通A股,000407
深圳市万悦东润投资有限责任公司,5000090,0.568,流通A股,000407
中信证券股份有限公司,6999265,0.338,流通A股,000408
北京路源世纪投资管理有限公司,6000000,0.290,流通A股,000408
新疆华景君华股权投资有限合伙企业,4473247,0.216,流通A股,000408
广州司浦林信息产业创业投资企业(有限合伙),4025722,0.194,流通A股,000408
安徽丰原集团有限公司,54153182,10.599,流通A股,000409
山东省国有资产投资控股有限公司,12779411,2.501,流通A股,000409
山东地矿集团有限公司,8825660,1.727,流通A股,000409
沈阳机床(集团)有限责任公司,208671780,27.261,流通A股,000410
沈阳森木投资管理有限公司,3735852,0.488,流通A股,000410
浙江华辰投资发展有限公司,44691447,21.543,流通A股,000411
浙江华资实业发展有限公司,24102000,11.618,流通A股,000411
浙江省华龙实业集团有限公司,13006263,6.270,流通A股,000411
浙江华龙房地产开发有限公司,10996502,5.301,流通A股,000411
浙江东普实业有限公司,10144141,4.890,流通A股,000411
迪佛电信集团有限公司,6695226,3.227,流通A股,000411
浙江汇源投资管理有限公司,6686389,3.223,流通A股,000411
石家庄宝石电子集团有限责任公司,332382171,6.728,流通A股,000413
东旭集团有限公司,119086103,2.411,流通A股,000413
深圳泰安尔信息技术有限公司,68765682,1.392,流通A股,000413
海航资本集团有限公司,1177050377,19.032,流通A股,000415
宁波梅山保税港区德通顺和投资管理有限公司,144170576,2.331,流通A股,000415
中国证券金融股份有限公司,64303040,1.040,流通A股,000415
天津保税区投资有限公司,22081147,0.357,流通A股,000415
中央汇金资产管理有限责任公司,18358700,0.297,流通A股,000415
中国泛海控股集团有限公司,119981428,22.558,流通A股,000416
红槿资本投资管理有限公司,22215673,4.177,流通A股,000416
合肥市建设投资控股(集团)有限公司,296390467,38.004,流通A股,000417
西安顺时来百货有限公司,35588059,4.563,流通A股,000417
华融证券股份有限公司,15000000,1.923,流通A股,000417
中央汇金资产管理有限责任公司,12598200,1.615,流通A股,000417
申万宏源证券有限公司,10780000,1.382,流通A股,000417
美的集团股份有限公司,238948117,37.779,流通A股,000418
TITONIINVESTMENTSDEVELOPMENTLTD.,94204942,14.894,流通B股,000418
无锡市财政局,17054071,2.696,流通A股,000418
